"","gene","distance","Z","FC","p.value","p.adj"
"122","RP23-435E16.3",4.06255390164252e-18,-1.22315783931196,1.88103062457897e-19,0.999999999653951,0.999999999998216
"1672","Gm26885",4.06041954169299e-18,-1.22323461540577,1.87905465483608e-19,0.999999999654132,0.999999999998216
"447","Hsd17b14",4.05030177994786e-18,-1.22359910855956,1.86970185754329e-19,0.999999999654994,0.999999999998216
"878","Celf5",4.0413439801466e-18,-1.22392256404394,1.86144079694852e-19,0.999999999655757,0.999999999998216
"1683","D930020B18Rik",4.03478333705521e-18,-1.22415990982728,1.85540204538711e-19,0.999999999656316,0.999999999998216
"1531","4933406I18Rik",4.02868273917824e-18,-1.22438095413717,1.84979554629371e-19,0.999999999656836,0.999999999998216
"2959","Chrd",4.0258164183032e-18,-1.22448492415891,1.8471643033965e-19,0.99999999965708,0.999999999998216
"206","Gm14569",4.01299050694751e-18,-1.22495105407689,1.83541323305812e-19,0.999999999658173,0.999999999998216
"157","Ascl3",4.00864843414752e-18,-1.22510919016882,1.83144353198511e-19,0.999999999658542,0.999999999998216
"516","E030018B13Rik",4.00692896645544e-18,-1.22517185899835,1.82987271197112e-19,0.999999999658689,0.999999999998216
"1721","Six4",4.00400674710752e-18,-1.22527842494021,1.82720466388668e-19,0.999999999658938,0.999999999998216
"696","Zfp831",3.99826142227609e-18,-1.22548816617227,1.82196473632659e-19,0.999999999659427,0.999999999998216
"934","Edar",3.99406074646013e-18,-1.22564170595066,1.81813834183918e-19,0.999999999659785,0.999999999998216
"1993","Gm26690",3.98085053549864e-18,-1.22612559488915,1.80613137787036e-19,0.99999999966091,0.999999999998216
"610","Lta",3.97455970606092e-18,-1.22635658422536,1.80042752802274e-19,0.999999999661446,0.999999999998216
"876","Bpifb3",3.97030112863296e-18,-1.22651315717386,1.79657142670778e-19,0.999999999661809,0.999999999998216
"2589","A530076I17Rik",3.96469209813085e-18,-1.22671963441282,1.79149881107317e-19,0.999999999662287,0.999999999998216
"731","Sowaha",3.96334429553351e-18,-1.22676929206608,1.79028097308229e-19,0.999999999662401,0.999999999998216
"590","Sp7",3.95680897014491e-18,-1.2270103121344,1.78438170142871e-19,0.999999999662958,0.999999999998216
"1372","Scn2a1",3.95517611766492e-18,-1.22707059233586,1.78290928720525e-19,0.999999999663097,0.999999999998216
"1158","Tigit",3.95466825402751e-18,-1.22708934619859,1.7824514483454e-19,0.99999999966314,0.999999999998216
"1070","2310007B03Rik",3.95430691977555e-18,-1.22710269062167,1.7821257414614e-19,0.999999999663171,0.999999999998216
"209","1700125G22Rik",3.94919022548301e-18,-1.2272917842498,1.777516745108e-19,0.999999999663607,0.999999999998216
"1059","Masp1",3.94900409856379e-18,-1.22729866734784,1.77734919890215e-19,0.999999999663623,0.999999999998216
"2891","4930452B06Rik",3.94536902009019e-18,-1.22743315914838,1.77407858684385e-19,0.999999999663932,0.999999999998216
"879","Orc1",3.93268018886213e-18,-1.22790358408749,1.76268559191677e-19,0.999999999665013,0.999999999998216
"689","Vwa7",3.92636192172427e-18,-1.22813838554911,1.75702625963683e-19,0.999999999665552,0.999999999998216
"1406","Zfp773",3.91591161812302e-18,-1.22852756196069,1.74768579483869e-19,0.999999999666442,0.999999999998216
"492","Gm21972",3.87525962611262e-18,-1.23005127255663,1.71158787507284e-19,0.999999999669904,0.999999999998216
