"","gene","distance","Z","FC","p.value","p.adj"
"2732","Spata2",1.64300102363798e-13,-0.455220653304661,5.84038525175397e-07,0.999390237422789,0.999999999237769
"2065","Swap70",1.64123576772985e-13,-0.455401029678793,5.8278420628414e-07,0.999390892557367,0.999999999237769
"1678","Dbf4",1.63388699110608e-13,-0.456153899047034,5.77576955942688e-07,0.999393619888662,0.999999999237769
"2953","Clec16a",1.61626223603402e-13,-0.457972547876521,5.65183505926154e-07,0.999400160915659,0.999999999237769
"1329","Gprasp1",1.61578130748315e-13,-0.458022433795957,5.64847208463223e-07,0.999400339401353,0.999999999237769
"1113","Saa3",1.61084084548696e-13,-0.45853570763837,5.61398301320808e-07,0.999402172941467,0.999999999237769
"1069","Tnfrsf19",1.60698115906673e-13,-0.458937726060424,5.58711225836206e-07,0.999403605376308,0.999999999237769
"2070","Lag3",1.59854661282478e-13,-0.459819415572381,5.5286161337338e-07,0.999406735666339,0.999999999237769
"996","Gpr19",1.59469878345299e-13,-0.46022309146375,5.50203252552016e-07,0.999408163700711,0.999999999237769
"1304","9230114K14Rik",1.59024740481277e-13,-0.460691227058895,5.47135908695543e-07,0.999409815728673,0.999999999237769
"790","Zfp748",1.58989904297071e-13,-0.460727914868155,5.46896222221925e-07,0.999409945015249,0.999999999237769
"2630","Tfcp2",1.58946875821214e-13,-0.460773240817911,5.4660024208817e-07,0.999410104705653,0.999999999237769
"2776","Helb",1.57259250531648e-13,-0.462560115495328,5.35054758392632e-07,0.999416367943186,0.999999999237769
"2676","Utp20",1.56937107326539e-13,-0.462903247091739,5.3286490041727e-07,0.999417563504448,0.999999999237769
"2533","Gtpbp1",1.56919930576045e-13,-0.462921561494274,5.32748262781899e-07,0.999417627252052,0.999999999237769
"2162","A630072M18Rik",1.56781045255271e-13,-0.463069714585083,5.31805639757768e-07,0.999418142693343,0.999999999237769
"1926","Atmin",1.5663363014862e-13,-0.463227101381589,5.30806037688066e-07,0.999418689790994,0.999999999237769
"1488","Tusc1",1.55170212630826e-13,-0.46479708962966,5.20933801426882e-07,0.999424120932403,0.999999999237769
"2485","Polr1e",1.55032951963531e-13,-0.464945057662901,5.20012592458214e-07,0.999424630344165,0.999999999237769
"2219","Zbtb38",1.54998147582532e-13,-0.464982596576032,5.19779136478531e-07,0.999424759512713,0.999999999237769
"839","Agtrap",1.54960598591829e-13,-0.465023104605985,5.19527329367217e-07,0.999424898867255,0.999999999237769
"2170","Cep250",1.54736140271876e-13,-0.46526544348787,5.18023362849758e-07,0.999425731893282,0.999999999237769
"2880","Ccdc28b",1.54714349812127e-13,-0.465288987351541,5.17877473564773e-07,0.99942581276362,0.999999999237769
"1370","3110045C21Rik",1.54702210704165e-13,-0.465302104601053,5.17796209946456e-07,0.999425857815159,0.999999999237769
"1997","Pias3",1.54373091352508e-13,-0.465658112047508,5.15595394888925e-07,0.999427079266813,0.999999999237769
"1496","Alpl",1.54245512206725e-13,-0.46579630553301,5.14743536078722e-07,0.99942755274781,0.999999999237769
"2789","Kctd3",1.53261606696979e-13,-0.466865686077276,5.08197560293266e-07,0.999431204289445,0.999999999237769
"950","Pmepa1",1.51650195737987e-13,-0.46863107346253,4.97567239372815e-07,0.999437184674933,0.999999999237769
"1148","Gm16515",1.51058567307636e-13,-0.469283652866531,4.93692523546782e-07,0.999439380369378,0.999999999237769
"1579","Tprn",1.5105298029321e-13,-0.469289826886883,4.93656005045487e-07,0.999439401104313,0.999999999237769
"2092","Cdk19",1.50924561665952e-13,-0.469431797034111,4.92816992419388e-07,0.999439877700859,0.999999999237769
"1878","Gm12657",1.50732486526084e-13,-0.469644352728775,4.91563417014451e-07,0.999440590544085,0.999999999237769
"690","Exog",1.50362000953071e-13,-0.470055060947881,4.89149957972906e-07,0.999441965517083,0.999999999237769
